iter	Passed	Remaining
0	0	31
1	0	32
2	0	32
3	1	29
4	1	29
5	1	29
6	2	29
7	2	27
8	2	27
9	2	26
10	3	25
11	3	25
12	3	26
13	4	25
14	4	24
15	4	24
16	4	24
17	5	24
18	5	23
19	5	23
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	21
26	7	21
27	8	20
28	8	20
29	8	20
30	8	19
31	9	19
32	9	18
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	15
42	11	15
43	11	14
44	12	14
45	12	14
46	12	14
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	13	12
53	14	12
54	14	11
55	14	11
56	14	11
57	15	10
58	15	10
59	15	10
60	15	10
61	16	9
62	16	9
63	16	9
64	16	9
65	17	8
66	17	8
67	17	8
68	17	7
69	18	7
70	18	7
71	18	7
72	18	6
73	19	6
74	19	6
75	19	6
76	19	5
77	20	5
78	20	5
79	20	5
80	20	4
81	21	4
82	21	4
83	21	4
84	21	3
85	22	3
86	22	3
87	22	3
88	22	2
89	23	2
90	23	2
91	23	2
92	23	1
93	24	1
94	24	1
95	24	1
96	24	0
97	25	0
98	25	0
99	25	0
